  N  h_n_exp  locked  zeros estimates
----------------------------------------------------------------------------------------------------
  1 locked= 0  g1:7.6e-01
 34 locked=16  g1✓ g2✓ g3✓ g4✓ g5✓ g6✓ g7✓ g8✓ g9✓ g10✓ g11✓ g12✓ g13✓ g14✓ g15✓
 35 locked=16  g1✓ g2✓ g3✓ g4✓ g5✓ g6✓ g7✓ g8✓ g9✓ g10✓ g11✓ g12✓ g13✓ g14✓ g15✓
 36 locked=17  g1✓ g2✓ g3✓ g4✓ g5✓ g6✓ g7✓ g8✓ g9✓ g10✓ g11✓ g12✓ g13✓ g14✓ g15✓
 37 locked=17  g1✓ g2✓ g3✓ g4✓ g5✓ g6✓ g7✓ g8✓ g9✓ g10✓ g11✓ g12✓ g13✓ g14✓ g15✓
 38 locked=18  g1✓ g2✓ g3✓ g4✓ g5✓ g6✓ g7✓ g8✓ g9✓ g10✓ g11✓ g12✓ g13✓ g14✓ g15✓
 39 locked=18  g1✓ g2✓ g3✓ g4✓ g5✓ g6✓ g7✓ g8✓ g9✓ g10✓ g11✓ g12✓ g13✓ g14✓ g15✓
 40 locked=18  g1✓ g2✓ g3✓ g4✓ g5✓ g6✓ g7✓ g8✓ g9✓ g10✓ g11✓ g12✓ g13✓ g14✓ g15✓
 41 locked=19  g1✓ g2✓ g3✓ g4✓ g5✓ g6✓ g7✓ g8✓ g9✓ g10✓ g11✓ g12✓ g13✓ g14✓ g15✓
 42 locked=20  g1✓ g2✓ g3✓ g4✓ g5✓ g6✓ g7✓ g8✓ g9✓ g10✓ g11✓ g12✓ g13✓ g14✓ g15✓
 43 locked=21  g1✓ g2✓ g3✓ g4✓ g5✓ g6✓ g7✓ g8✓ g9✓ g10✓ g11✓ g12✓ g13✓ g14✓ g15✓
 44 locked=21  g1✓ g2✓ g3✓ g4✓ g5✓ g6✓ g7✓ g8✓ g9✓ g10✓ g11✓ g12✓ g13✓ g14✓ g15✓
 45 locked=21  g1✓ g2✓ g3✓ g4✓ g5✓ g6✓ g7✓ g8✓ g9✓ g10✓ g11✓ g12✓ g13✓ g14✓ g15✓
 46 locked=22  g1✓ g2✓ g3✓ g4✓ g5✓ g6✓ g7✓ g8✓ g9✓ g10✓ g11✓ g12✓ g13✓ g14✓ g15✓
 47 locked=23  g1✓ g2✓ g3✓ g4✓ g5✓ g6✓ g7✓ g8✓ g9✓ g10✓ g11✓ g12✓ g13✓ g14✓ g15✓
 48 locked=23  g1✓ g2✓ g3✓ g4✓ g5✓ g6✓ g7✓ g8✓ g9✓ g10✓ g11✓ g12✓ g13✓ g14✓ g15✓
 49 locked=24  g1✓ g2✓ g3✓ g4✓ g5✓ g6✓ g7✓ g8✓ g9✓ g10✓ g11✓ g12✓ g13✓ g14✓ g15✓
 50 locked=25  g1✓ g2✓ g3✓ g4✓ g5✓ g6✓ g7✓ g8✓ g9✓ g10✓ g11✓ g12✓ g13✓ g14✓ g15✓
